,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,12:10:45.03,-6.04572,5.8937,0.3403,0.0,-0.03333,-0.0
1,12:10:45.10,-6.45972,6.1029,0.09518,0.0,0.0,-0.0
2,12:10:45.16,-7.04161,6.65146,0.14937,0.0,0.03333,-0.0
3,12:10:45.23,-8.51935,7.18702,0.30247,0.06667,0.0,-0.0
4,12:10:45.29,-8.87696,7.33877,0.35515,0.03333,0.0,-0.0
5,12:10:45.35,-7.82971,7.17802,0.28946,0.0,0.0,-0.0
6,12:10:45.41,-6.0244,6.75986,0.3052,0.0,0.03333,-0.0
7,12:10:45.48,-4.73168,6.2408,0.36027,0.0,0.0,-0.03333
8,12:10:45.54,-3.43089,5.4054,0.22975,0.0,0.0,-0.03333
9,12:10:45.60,-2.30282,4.31517,0.26501,0.0,0.0,-0.03333
10,12:10:45.67,-1.70601,3.591,0.20405,0.0,0.0,-0.0
11,12:10:45.73,-1.51177,3.18865,0.21614,0.0,0.0,-0.0
12,12:10:45.80,-0.91949,2.23059,0.2445,0.03333,-0.03333,-0.0
13,12:10:45.86,-0.79062,1.85982,0.33377,0.0,0.0,-0.0
14,12:10:45.92,-0.65029,1.55417,0.31949,0.03333,0.0,-0.0
15,12:10:45.99,-0.60854,1.26401,0.12439,0.0,0.03333,-0.0
16,12:10:46.05,-0.21242,0.81377,0.28005,0.0,0.03333,-0.0
17,12:10:46.11,-0.18342,0.67661,0.24914,0.03333,-0.03333,-0.03333
18,12:10:46.18,-0.16,0.71561,0.29102,0.0,0.0,-0.0
19,12:10:46.24,-0.199,0.57784,0.25636,0.03333,-0.03333,-0.03333
20,12:10:46.31,-0.189,0.39949,0.19067,0.03333,0.03333,-0.0
21,12:10:46.37,0.08969,0.25962,0.28069,0.0,-0.03333,-0.0
22,12:10:46.43,0.05969,0.21062,0.25623,0.03333,-0.03333,-0.0
23,12:10:46.50,0.01069,0.09029,0.18896,0.0,0.03333,-0.0
24,12:10:46.56,0.12869,-0.02771,0.21278,0.03333,0.0,-0.0
25,12:10:46.62,-0.06731,0.12929,0.1596,0.06667,0.0,-0.0
26,12:10:46.68,0.05458,0.25729,-0.28184,0.2,-0.03333,-0.0
27,12:10:46.74,0.06458,0.09029,-0.78696,0.46667,-0.06667,0.03333
28,12:10:46.81,-0.45742,-0.43246,-1.16861,1.06667,0.0,0.06667
29,12:10:46.87,-1.75062,-1.53169,-1.78724,1.9,-0.06667,-0.03333
30,12:10:46.93,-1.19929,-1.78546,-2.38329,2.7,-0.26667,-0.26667
31,12:10:46.99,-0.78454,-2.44299,-1.85238,3.16667,0.0,-0.53333
32,12:10:47.05,-1.80231,-1.29711,-1.39337,3.26667,-1.13333,-1.16667
33,12:10:47.12,0.33236,-2.19922,-0.46784,3.56667,-0.03333,-0.8
34,12:10:47.18,-1.04046,-1.59528,-0.02335,2.53333,-0.83333,-0.86667
35,12:10:47.24,0.89101,-2.7231,0.11895,2.3,0.16667,-0.4
36,12:10:47.31,0.41882,-4.21212,0.01072,1.26667,0.06667,-0.2
37,12:10:47.37,0.34089,-4.67319,-0.77681,1.3,0.6,-0.0
38,12:10:47.43,1.00909,-4.33498,-1.22605,0.36667,-0.23333,-0.23333
39,12:10:47.50,0.56442,-2.64898,-0.44622,0.23333,-0.26667,-0.13333
40,12:10:47.56,0.76665,-2.57629,-1.02654,0.1,0.26667,0.2
41,12:10:47.62,0.59342,-2.43719,-0.69022,-0.06667,0.0,-0.03333
42,12:10:47.68,1.38109,-4.00712,-0.38614,-0.8,0.2,0.2
43,12:10:47.75,1.21722,-4.81261,0.40485,-1.4,0.23333,0.43333
44,12:10:47.81,1.41882,-4.0671,0.26516,-1.6,0.43333,0.6
45,12:10:47.87,0.85049,-4.15506,0.26814,-2.5,0.26667,0.33333
46,12:10:47.94,0.06754,-4.41509,0.5219,-2.3,0.23333,0.5
47,12:10:48.00,0.267,-4.42648,0.07019,-2.33333,0.66667,0.43333
48,12:10:48.06,0.04421,-5.59039,-0.16826,-2.66667,0.4,0.36667
49,12:10:48.13,0.313,-5.11558,-0.42477,-2.73333,0.06667,0.4
50,12:10:48.19,0.107,-5.61442,-0.76968,-2.2,0.36667,0.26667
51,12:10:48.25,0.14664,-5.80501,-1.32561,-2.4,0.4,0.33333
52,12:10:48.32,-0.17531,-5.45107,-1.23024,-1.66667,0.33333,0.13333
53,12:10:48.38,-0.70242,-5.32498,-1.96972,-1.26667,0.43333,0.16667
54,12:10:48.45,-0.31354,-5.23168,-1.28981,-1.0,0.0,0.1
55,12:10:48.51,-0.83962,-5.37364,-1.02288,-0.33333,0.23333,0.03333
56,12:10:48.57,-0.79249,-5.31675,-0.68083,-0.06667,0.16667,-0.0
57,12:10:48.64,-0.48849,-5.61294,-0.1833,0.0,0.16667,0.06667
58,12:10:48.70,-0.49984,-6.02617,0.41239,0.2,0.13333,-0.0
59,12:10:48.77,-0.39184,-6.14294,0.0632,0.0,0.0,0.03333
60,12:10:48.83,-0.29249,-6.09394,0.46729,0.0,0.06667,0.1
61,12:10:48.89,-0.36049,-6.08394,0.18016,0.1,-0.06667,-0.06667
62,12:10:48.95,-0.14262,-5.79564,-0.01828,0.0,0.06667,0.03333
63,12:10:49.01,-0.13362,-5.52281,0.19872,0.16667,-0.03333,-0.03333
64,12:10:49.08,-0.15029,-5.44317,-0.08762,0.06667,0.1,0.03333
65,12:10:49.14,0.11471,-5.44317,0.3897,0.03333,-0.03333,-0.0
66,12:10:49.20,0.21546,-5.02991,0.39971,0.06667,-0.03333,-0.0
67,12:10:49.27,0.01946,-4.79852,0.25781,0.06667,0.03333,-0.0
68,12:10:49.33,0.11746,-3.83289,0.26146,0.06667,0.0,-0.0
69,12:10:49.39,0.43458,-3.07222,0.20374,0.06667,0.0,-0.0
70,12:10:49.46,0.10746,-2.44,0.05646,0.03333,0.03333,-0.0
71,12:10:49.52,0.36246,-2.45201,0.28092,0.1,0.0,-0.0
72,12:10:49.58,0.12746,-2.08077,0.36499,0.03333,0.03333,0.03333
73,12:10:49.64,0.08846,-1.69584,0.20643,0.06667,0.0,-0.0
74,12:10:49.71,0.11746,-1.44762,0.26696,0.0,0.0,-0.0
75,12:10:49.77,0.28446,-1.13754,0.28901,0.06667,0.0,-0.0
76,12:10:49.83,0.28446,-0.95742,0.31747,0.03333,0.0,-0.0
77,12:10:49.90,0.10746,-0.817,0.34216,0.06667,0.0,-0.0
78,12:10:49.96,0.20546,-0.69431,0.20051,0.1,0.06667,-0.03333
79,12:10:50.02,0.35246,-0.56242,0.34663,0.0,0.0,-0.0
80,12:10:50.09,0.10746,-0.33742,0.17048,0.0,0.03333,-0.0
81,12:10:50.15,0.26446,-0.51342,0.21847,0.06667,-0.03333,-0.0
82,12:10:50.21,0.21546,-0.51342,0.25973,0.0,0.0,-0.0
83,12:10:50.28,0.12746,-0.33336,0.2777,0.03333,0.0,-0.03333
84,12:10:50.34,0.09746,-0.35236,0.20606,0.03333,0.0,-0.03333
85,12:10:50.40,0.09746,-0.16221,0.27395,0.03333,0.03333,-0.0
86,12:10:50.47,0.24546,-0.15221,0.30305,0.0,0.0,-0.0
87,12:10:50.53,0.18646,-0.19121,0.22741,0.0,0.0,-0.0
88,12:10:50.60,0.02946,-0.05421,0.2664,0.0,0.0,-0.0
89,12:10:50.66,0.20546,-0.10321,0.32632,0.0,0.0,-0.0
90,12:10:50.72,0.14746,-0.06421,0.21299,0.03333,0.0,-0.03333
91,12:10:50.78,0.19646,-0.11321,0.22889,0.0,0.0,-0.0
92,12:10:50.85,0.10746,-0.01521,0.23799,0.0,-0.03333,-0.03333
93,12:10:50.91,0.06846,0.00479,0.15575,0.03333,0.0,-0.0
94,12:10:50.97,0.34658,-0.16221,0.284,0.0,0.0,-0.0
95,12:10:51.03,0.09746,0.11179,0.11363,0.06667,-0.03333,-0.03333
96,12:10:51.10,0.02258,0.01379,0.10269,0.16667,-0.06667,-0.03333
97,12:10:51.16,0.03258,0.019,-0.10155,0.36667,-0.1,-0.1
98,12:10:51.23,0.095,0.00421,-0.41217,1.03333,-0.23333,-0.23333
99,12:10:51.29,-0.57731,-0.14969,-1.48277,1.53333,-0.23333,-0.23333
100,12:10:51.35,-0.59142,0.60549,-1.61087,2.16667,-0.5,-0.4
101,12:10:51.41,-0.186,0.37346,-2.13401,2.63333,-0.73333,-0.6
102,12:10:51.48,0.51342,1.08342,-2.45393,2.33333,-0.36667,-0.3
103,12:10:51.54,0.88842,-0.86932,-1.07905,3.13333,-0.43333,-0.2
104,12:10:51.60,2.68625,-1.71028,-0.05377,3.03333,-0.8,-0.5
105,12:10:51.67,3.69607,-0.99754,0.08347,2.6,-0.7,-0.46667
106,12:10:51.73,3.91078,-0.52098,-0.07039,2.43333,-0.43333,-0.2
107,12:10:51.79,5.30839,-2.80812,0.28963,2.13333,-0.7,-0.73333
108,12:10:51.86,6.16742,-2.84512,-0.19318,1.23333,-0.16667,-0.46667
109,12:10:51.92,6.95276,-2.60212,-2.82394,1.0,0.26667,-0.03333
110,12:10:51.98,5.68367,-3.14212,-2.64812,0.7,0.0,-0.06667
