,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
64,MinMaxScaler,2,10,k-means++,euclidean,0.3463129167773436,1.0999137021578431,75.45024173243212,1.7365708804691318,0.9995794804827578,1.0,1.0,1.0,0.9998948701206894
68,MinMaxScaler,2,20,k-means++,euclidean,0.3463129167773436,1.0999137021578431,75.45024173243212,1.7365708804691318,0.9995794804827578,1.0,1.0,1.0,0.9998948701206894
66,MinMaxScaler,2,10,random,euclidean,0.3463129167773436,1.0999137021578431,75.45024173243212,1.7365708804691318,0.9995794804827578,1.0,1.0,1.0,0.9998948701206894
70,MinMaxScaler,2,20,random,euclidean,0.3463129167773436,1.0999137021578431,75.45024173243212,1.7365708804691318,0.9995794804827578,1.0,1.0,1.0,0.9998948701206894
65,MinMaxScaler,2,10,k-means++,manhattan,0.3463732282434533,1.0999137021578431,75.45024173243212,1.5894332556079573,1.0,0.8153770056877085,1.0,1.0,0.9538442514219272
69,MinMaxScaler,2,20,k-means++,manhattan,0.3463732282434533,1.0999137021578431,75.45024173243212,1.5894332556079573,1.0,0.8153770056877085,1.0,1.0,0.9538442514219272
71,MinMaxScaler,2,20,random,manhattan,0.3463732282434533,1.0999137021578431,75.45024173243212,1.5894332556079573,1.0,0.8153770056877085,1.0,1.0,0.9538442514219272
67,MinMaxScaler,2,10,random,manhattan,0.3463732282434533,1.0999137021578431,75.45024173243212,1.5894332556079573,1.0,0.8153770056877085,1.0,1.0,0.9538442514219272
73,MinMaxScaler,3,10,k-means++,manhattan,0.3208065856737018,1.3371708066102193,61.61499020472987,1.464399778141415,0.8217375088945149,0.65848949971545,0.44996015756852126,0.6838843308005574,0.6535178742447609
79,MinMaxScaler,3,20,random,manhattan,0.3208065856737018,1.3371708066102193,61.61499020472987,1.464399778141415,0.8217375088945149,0.65848949971545,0.44996015756852126,0.6838843308005574,0.6535178742447609
75,MinMaxScaler,3,10,random,manhattan,0.3208065856737018,1.3371708066102193,61.614990204729864,1.464399778141415,0.8217375088945149,0.65848949971545,0.44996015756852126,0.6838843308005572,0.6535178742447608
77,MinMaxScaler,3,20,k-means++,manhattan,0.3208065856737018,1.3371708066102193,61.614990204729864,1.464399778141415,0.8217375088945149,0.65848949971545,0.44996015756852126,0.6838843308005572,0.6535178742447608
81,MinMaxScaler,4,10,k-means++,manhattan,0.30642536652603636,1.2412274051950107,52.697897749129915,1.3019881006801703,0.7214649782561027,0.454701174108943,0.6723884533136306,0.48014154786154484,0.5821740383850553
85,MinMaxScaler,4,20,k-means++,manhattan,0.31278609114090455,1.2367727458950641,52.69042023914526,1.256504473603142,0.7658149006985552,0.3976299563896988,0.6827158157126789,0.47997069747490667,0.5815328425689599
74,MinMaxScaler,3,10,random,euclidean,0.27989825408417307,1.3371708066102193,61.61499020472987,1.3553193718799212,0.5365056456874767,0.5216193331363762,0.44996015756852126,0.6838843308005574,0.5479923667982329
72,MinMaxScaler,3,10,k-means++,euclidean,0.27989825408417307,1.3371708066102193,61.614990204729864,1.3553193718799212,0.5365056456874767,0.5216193331363762,0.44996015756852126,0.6838843308005572,0.5479923667982328
78,MinMaxScaler,3,20,random,euclidean,0.27989825408417307,1.3371708066102193,61.614990204729864,1.3553193718799212,0.5365056456874767,0.5216193331363762,0.44996015756852126,0.6838843308005572,0.5479923667982328
76,MinMaxScaler,3,20,k-means++,euclidean,0.27989825408417307,1.3371708066102193,61.614990204729864,1.3553193718799212,0.5365056456874767,0.5216193331363762,0.44996015756852126,0.6838843308005572,0.5479923667982328
83,MinMaxScaler,4,10,random,manhattan,0.2959497305680654,1.2567253200370099,52.67234861284646,1.2648522355354883,0.648423985224367,0.408104427519772,0.636459199867731,0.4795577867136149,0.5431363498313713
99,PowerTransformer,2,10,random,manhattan,0.28981240263176045,1.4004431746900219,50.58378017292859,1.4758641527137764,0.6056316880475993,0.6728745841794955,0.303274040627113,0.4318369911262343,0.5034043259951105
97,PowerTransformer,2,10,k-means++,manhattan,0.28981240263176045,1.4004431746900219,50.58378017292859,1.4758641527137764,0.6056316880475993,0.6728745841794955,0.303274040627113,0.4318369911262343,0.5034043259951105
101,PowerTransformer,2,20,k-means++,manhattan,0.28981240263176045,1.4004431746900219,50.58378017292859,1.4758641527137764,0.6056316880475993,0.6728745841794955,0.303274040627113,0.4318369911262343,0.5034043259951105
103,PowerTransformer,2,20,random,manhattan,0.28981240263176045,1.4004431746900219,50.58378017292859,1.4758641527137764,0.6056316880475993,0.6728745841794955,0.303274040627113,0.4318369911262343,0.5034043259951105
39,StandardScaler,2,20,random,manhattan,0.28652887108535624,1.4100683381118404,49.11300248602072,1.523855666869825,0.5827373830371331,0.7330926083145883,0.28095975257182326,0.3982318288485878,0.49875539319303314
33,StandardScaler,2,10,k-means++,manhattan,0.28652887108535624,1.4100683381118404,49.11300248602072,1.523855666869825,0.5827373830371331,0.7330926083145883,0.28095975257182326,0.3982318288485878,0.49875539319303314
35,StandardScaler,2,10,random,manhattan,0.28461809394962095,1.4082639882158305,49.12829760673226,1.52804440806307,0.5694145585311664,0.7383484899575451,0.2851428278680647,0.3985813004364035,0.49787179419829497
37,StandardScaler,2,20,k-means++,manhattan,0.28461809394962095,1.4082639882158305,49.12829760673226,1.52804440806307,0.5694145585311664,0.7383484899575451,0.2851428278680647,0.3985813004364035,0.49787179419829497
