,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
81,MinMaxScaler,4,10,k-means++,manhattan,0.3445397658504079,1.0148551931970344,61.4778501930498,1.7079026215039939,1.0,1.0,0.943868184802127,0.7276115895461205,0.9178699435870619
87,MinMaxScaler,4,20,random,manhattan,0.3433877866757359,1.0173286433881148,61.76265515669973,1.479613169089664,0.9897947359098429,0.6315731519430805,0.9382109407603599,0.7394298737669,0.8247521755950459
85,MinMaxScaler,4,20,k-means++,manhattan,0.3433877866757359,1.0173286433881148,61.76265515669973,1.479613169089664,0.9897947359098429,0.6315731519430805,0.9382109407603599,0.7394298737669,0.8247521755950459
83,MinMaxScaler,4,10,random,manhattan,0.3440576219323956,1.0278786758386333,61.60499274355978,1.4757397218064796,0.9957287370110839,0.6253219565480863,0.9140810397676591,0.7328875046117325,0.8170048094846405
80,MinMaxScaler,4,10,k-means++,euclidean,0.323652805616072,1.0148551931970342,61.4778501930498,1.5664520322858548,0.8149645845006757,0.771718779863516,0.9438681848021275,0.7276115895461205,0.8145407846781099
66,MinMaxScaler,2,10,random,euclidean,0.3219411022684329,1.2112671651269826,68.0420493516366,1.6381261416367137,0.7998007819852038,0.8873906425630576,0.4946372029374385,1.0,0.7954571568714249
68,MinMaxScaler,2,20,k-means++,euclidean,0.3219411022684329,1.2112671651269826,68.0420493516366,1.6381261416367137,0.7998007819852038,0.8873906425630576,0.4946372029374385,1.0,0.7954571568714249
70,MinMaxScaler,2,20,random,euclidean,0.3219411022684329,1.2112671651269826,68.0420493516366,1.6381261416367137,0.7998007819852038,0.8873906425630576,0.4946372029374385,1.0,0.7954571568714249
64,MinMaxScaler,2,10,k-means++,euclidean,0.3219411022684329,1.2112671651269826,68.0420493516366,1.6381261416367137,0.7998007819852038,0.8873906425630576,0.4946372029374385,1.0,0.7954571568714249
73,MinMaxScaler,3,10,k-means++,manhattan,0.3352742478377311,1.155995259314688,63.17521398798397,1.57933245676139,0.9179177364222793,0.7925059609661448,0.6210544079255613,0.7980455015731928,0.7823809017217945
77,MinMaxScaler,3,20,k-means++,manhattan,0.3352742478377311,1.155995259314688,63.17521398798397,1.57933245676139,0.9179177364222793,0.7925059609661448,0.6210544079255613,0.7980455015731928,0.7823809017217945
79,MinMaxScaler,3,20,random,manhattan,0.3352742478377311,1.155995259314688,63.17521398798397,1.57933245676139,0.9179177364222793,0.7925059609661448,0.6210544079255613,0.7980455015731928,0.7823809017217945
75,MinMaxScaler,3,10,random,manhattan,0.3352742478377311,1.155995259314688,63.17521398798397,1.57933245676139,0.9179177364222793,0.7925059609661448,0.6210544079255613,0.7980455015731928,0.7823809017217945
65,MinMaxScaler,2,10,k-means++,manhattan,0.33175096059210113,1.2112671651269826,68.0420493516366,1.531784788161986,0.8867052999497427,0.7157707570867308,0.4946372029374385,1.0,0.774278314993478
67,MinMaxScaler,2,10,random,manhattan,0.33175096059210113,1.2112671651269826,68.0420493516366,1.531784788161986,0.8867052999497427,0.7157707570867308,0.4946372029374385,1.0,0.774278314993478
