,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,11:32:18.60,-6.90872,8.66842,0.04817,-0.13333,0.03333,0.1,0
1,11:32:18.66,-6.9916,8.75267,-0.03535,0.0,0.0,-0.0,0
2,11:32:18.73,-5.86417,8.63788,0.01183,0.03333,0.03333,-0.03333,0
3,11:32:18.79,-3.74607,7.89735,0.26997,0.0,-0.03333,-0.03333,0
4,11:32:18.85,-2.31477,6.76272,0.14885,0.06667,-0.03333,-0.06667,0
5,11:32:18.92,-1.53462,5.68664,0.13019,0.06667,0.06667,-0.0,0
6,11:32:18.98,-1.37254,5.26968,0.23579,0.06667,0.0,-0.03333,0
7,11:32:19.05,-0.924,3.75142,0.37349,0.1,0.0,-0.03333,0
8,11:32:19.11,-0.55831,3.34307,0.32224,-0.03333,0.03333,-0.06667,0
9,11:32:19.17,-0.40642,2.84522,0.19631,0.0,0.0,-0.03333,0
10,11:32:19.24,-0.31436,2.214,0.25367,-0.03333,-0.03333,-0.0,0
11,11:32:19.30,-0.42036,2.21625,0.15552,0.03333,0.0,-0.03333,0
12,11:32:19.36,-0.24021,1.45984,0.14264,0.0,0.03333,-0.0,0
13,11:32:19.42,-0.08421,1.65584,0.32259,0.06667,-0.03333,-0.03333,0
14,11:32:19.48,-0.22021,1.28962,0.15708,0.06667,0.0,-0.03333,0
15,11:32:19.55,0.00479,0.86254,0.3857,0.0,0.0,-0.0,0
16,11:32:19.61,-0.069,0.82942,0.25409,0.06667,0.0,-0.0,0
17,11:32:19.68,0.058,0.75042,0.30479,-0.03333,-0.03333,-0.0,0
18,11:32:19.74,-0.069,0.32131,0.19969,-0.03333,-0.03333,-0.0,0
19,11:32:19.80,-0.039,0.23842,0.21577,0.03333,0.0,-0.0,0
20,11:32:19.87,0.097,0.31742,0.25432,0.0,0.0,-0.0,0
21,11:32:19.93,0.0,0.24842,0.13748,0.03333,-0.03333,-0.0,0
22,11:32:20.00,0.077,0.09736,0.14726,0.03333,0.0,-0.0,0
23,11:32:20.06,0.048,-0.00064,0.35569,0.0,0.0,-0.0,0
24,11:32:20.12,0.048,0.06736,0.28475,0.03333,0.0,-0.0,0
25,11:32:20.19,0.0,-0.05964,0.28878,0.0,0.0,-0.03333,0
26,11:32:20.25,0.097,0.02836,0.27621,0.03333,0.0,-0.0,0
27,11:32:20.32,0.0,-0.14279,0.23679,0.0,0.0,-0.0,0
28,11:32:20.38,-0.078,-0.02479,0.20518,0.03333,0.0,-0.0,0
29,11:32:20.44,0.068,-0.17179,0.24793,0.0,0.03333,-0.0,0
30,11:32:20.50,0.117,-0.18179,0.36555,0.0,-0.03333,-0.0,0
31,11:32:20.57,-0.059,-0.03479,0.20525,0.03333,0.0,-0.0,0
32,11:32:20.63,-0.157,-0.11279,0.11924,0.0,0.0,-0.03333,0
33,11:32:20.70,0.028,0.06321,0.3106,0.03333,0.0,-0.0,0
34,11:32:20.76,-0.01,-0.14279,0.20782,0.06667,0.0,-0.0,0
35,11:32:20.82,0.0,-0.13279,0.24648,-0.03333,0.0,-0.0,0
36,11:32:20.89,-0.098,-0.04479,0.18576,0.06667,0.0,-0.0,0
37,11:32:20.95,0.077,-0.09379,0.24569,0.0,0.03333,-0.0,0
38,11:32:21.01,0.0,-0.09379,0.2554,0.0,0.0,-0.0,0
39,11:32:21.08,-0.039,-0.13279,0.17762,0.0,0.03333,-0.0,0
40,11:32:21.14,-0.01,-0.11279,0.29488,0.0,0.0,-0.0,0
41,11:32:21.21,-0.422,-0.25079,0.53234,0.0,0.0,-0.0,0
42,11:32:21.27,0.274,-0.304,0.28906,0.03333,0.06667,0.03333,0
43,11:32:21.33,0.126,-0.226,-0.02957,0.0,0.0,-0.0,0
44,11:32:21.40,-0.029,-0.127,0.02686,0.13333,0.0,-0.0,0
45,11:32:21.46,0.185,-0.412,0.33972,0.03333,0.0,-0.0,1
46,11:32:21.53,-0.078,-0.265,0.20673,0.03333,0.0,-0.0,1
47,11:32:21.59,-0.039,-0.324,0.27614,0.13333,0.06667,-0.0,1
48,11:32:21.65,0.705,-0.27979,0.77271,0.16667,0.26667,0.1,1
49,11:32:21.71,-0.03831,-0.96036,1.0791,0.23333,0.86667,0.2,1
50,11:32:21.78,1.596,-1.71142,1.89679,0.16667,1.2,0.36667,1
51,11:32:21.84,1.237,-1.80962,2.81243,-0.33333,2.6,1.06667,1
52,11:32:21.91,1.73711,-2.52025,2.01098,-0.66667,2.53333,1.23333,1
53,11:32:21.97,1.52248,-2.43446,0.39929,0.0,2.83333,1.46667,1
54,11:32:22.03,1.35219,-2.67589,0.09122,-0.5,2.56667,2.1,1
55,11:32:22.10,1.48583,-2.40952,-0.13419,-0.3,2.23333,2.2,1
56,11:32:22.16,-0.0196,-1.95091,-0.57641,-0.4,1.1,2.0,1
