Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,12:17:51.24,-9.83253,5.6619,0.16823,0.1,0.0,-0.0,0
1,12:17:51.30,-9.93596,5.2009,0.11409,0.0,-0.06667,-0.03333,0
2,12:17:51.36,-10.0386,5.6129,0.36857,-0.03333,0.03333,-0.03333,0
3,12:17:51.43,-9.64386,5.3537,0.28403,0.13333,0.0,-0.0,0
4,12:17:51.49,-9.50142,5.1777,0.39541,-0.1,0.03333,-0.0,0
5,12:17:51.55,-9.01472,5.40725,0.3208,0.0,0.06667,-0.0,0
6,12:17:51.62,-8.63335,5.03658,0.04851,0.1,0.0,-0.0,0
7,12:17:51.68,-7.6877,4.90672,0.27934,-0.1,-0.1,-0.06667,0
8,12:17:51.75,-6.74675,4.42594,0.26171,0.2,0.03333,-0.0,0
9,12:17:51.81,-5.37652,3.73464,0.23373,-0.1,-0.03333,-0.03333,0
10,12:17:51.87,-4.29407,3.22491,0.3782,-0.1,-0.1,-0.1,0
11,12:17:51.94,-3.79622,2.98352,0.208,0.1,0.13333,0.03333,0
12,12:17:52.00,-3.135,2.60452,0.29799,-0.16667,-0.06667,-0.1,0
13,12:17:52.06,-2.74577,2.15489,0.16871,0.13333,0.16667,0.06667,0
14,12:17:52.12,-2.32361,2.02909,0.42721,-0.1,-0.13333,-0.06667,0
15,12:17:52.18,-1.82862,1.83089,0.08423,0.1,0.0,-0.0,0
16,12:17:52.25,-1.28354,1.16822,0.2879,0.1,0.0,-0.0,0
17,12:17:52.31,-1.33942,1.28182,0.19171,0.0,0.0,-0.0,0
18,12:17:52.37,-0.875,0.98146,0.59968,0.0,0.06667,0.36667,0
19,12:17:52.43,-1.48642,0.625,0.02375,-0.43333,0.3,0.36667,0
20,12:17:52.50,-1.46642,1.28401,-0.16423,0.03333,-0.13333,-0.0,0
21,12:17:52.56,-1.002,0.82301,0.32553,0.1,-0.16667,-0.06667,0
22,12:17:52.62,-0.88031,0.71501,0.24937,0.13333,0.0,-0.0,0
23,12:17:52.69,-0.93931,0.50025,0.19264,0.1,0.0,-0.0,0
24,12:17:52.75,-0.67042,0.62725,0.31113,0.0,0.0,-0.03333,0
