Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,12:28:51.47,-8.92315,-0.127,0.25334,0.0,0.0,-0.0,0
1,12:28:51.53,-8.89415,-0.216,0.13723,0.0,0.0,-0.0,0
2,12:28:51.60,-8.53577,-0.275,0.10088,0.03333,0.0,-0.0,0
3,12:28:51.66,-8.02586,-0.10379,0.20726,0.03333,0.0,-0.0,0
4,12:28:51.72,-7.6148,-0.05479,0.27347,0.03333,0.03333,-0.0,0
5,12:28:51.79,-6.81972,-0.03479,0.16577,0.0,0.0,-0.03333,0
6,12:28:51.85,-5.09891,-0.09379,0.18937,0.03333,0.0,-0.03333,0
7,12:28:51.91,-4.17965,-0.19179,0.37878,0.03333,0.0,-0.03333,0
8,12:28:51.98,-3.67707,-0.05479,0.27464,0.0,0.0,-0.0,0
9,12:28:52.04,-3.16022,-0.00579,0.24536,0.0,0.0,-0.0,0
10,12:28:52.10,-2.528,-0.08379,0.15874,0.06667,0.0,-0.0,0
11,12:28:52.16,-1.99177,-0.04479,0.28547,0.03333,0.0,-0.0,0
12,12:28:52.23,-1.72584,0.10221,0.36024,0.0,0.0,-0.0,0
13,12:28:52.29,-1.34962,-0.01479,0.24534,0.0,0.03333,-0.0,0
14,12:28:52.35,-0.97054,-0.294,0.22867,0.0,0.03333,-0.0,0
15,12:28:52.41,-0.86942,-0.157,0.14642,0.0,0.0,-0.0,0
16,12:28:52.48,-0.66,-0.147,0.068,0.0,0.0,-0.0,0
17,12:28:52.54,-0.50831,-0.284,0.11956,0.03333,0.0,-0.0,0
18,12:28:52.60,-0.32842,-0.206,0.17677,0.03333,0.0,-0.0,0
19,12:28:52.67,-0.39642,-0.226,0.21516,0.06667,0.0,-0.0,0
20,12:28:52.73,-0.21636,-0.11279,0.16776,0.03333,0.0,-0.0,0
21,12:28:52.79,-0.04521,-0.12279,0.18802,0.03333,0.0,-0.0,0
22,12:28:52.86,-0.07421,-0.11279,0.26535,0.03333,0.0,-0.0,0
23,12:28:52.92,0.03379,-0.15279,0.25911,0.03333,0.0,-0.0,0
24,12:28:52.98,-0.00521,-0.11279,0.27622,0.03333,0.0,-0.0,0
25,12:28:53.05,0.176,-0.09379,0.32483,0.0,0.0,-0.0,0
26,12:28:53.11,0.195,-0.05479,0.25631,0.03333,0.0,-0.0,0
27,12:28:53.18,0.166,-0.14279,0.42391,0.0,0.0,-0.0,0
28,12:28:53.24,0.166,-0.11279,0.30619,0.0,0.0,-0.0,0
29,12:28:53.30,0.146,-0.245,0.25594,0.0,0.0,-0.0,0
30,12:28:53.37,0.146,-0.167,0.09746,0.0,0.0,-0.03333,3
31,12:28:53.43,0.293,-0.265,0.07284,0.0,0.0,-0.0,3
32,12:28:53.50,0.234,-0.235,0.22736,0.0,0.0,-0.0,3
33,12:28:53.56,0.136,-0.186,0.1956,0.0,0.0,-0.0,3
34,12:28:53.62,0.146,-0.167,0.10645,0.03333,0.0,-0.0,3
35,12:28:53.69,0.205,-0.167,0.00956,0.03333,0.0,-0.03333,3
36,12:28:53.75,0.146,-0.108,-0.26622,0.1,0.0,-0.03333,3
37,12:28:53.81,0.16079,-0.19179,-0.29388,0.26667,0.06667,-0.06667,3
38,12:28:53.88,0.24979,-0.18179,-0.4182,0.26667,0.06667,-0.03333,3
39,12:28:53.94,0.36679,-0.18179,-0.59704,0.33333,0.03333,-0.03333,3
40,12:28:54.00,1.09969,-0.24271,-0.66664,1.76667,0.6,0.16667,3
41,12:28:54.06,1.24858,-0.43199,0.54636,1.9,0.26667,0.33333,3
42,12:28:54.13,0.89871,-0.64241,1.18551,1.73333,0.03333,0.4,3
43,12:28:54.19,1.20038,-1.10258,1.41506,1.4,0.2,0.6,3
44,12:28:54.25,1.15716,-1.65548,1.40737,1.63333,0.2,0.8,3
45,12:28:54.32,0.75423,-1.37932,1.00318,1.66667,0.4,0.83333,3
46,12:28:54.38,-0.16922,-2.11825,0.94443,2.33333,1.03333,1.23333,3
47,12:28:54.44,-1.21352,-2.25228,0.74803,2.06667,0.36667,1.76667,3
48,12:28:54.51,-2.25675,-1.61375,0.32657,1.6,-0.23333,1.8,3
49,12:28:54.57,-1.98772,-1.56475,0.38757,0.93333,-0.53333,2.2,3
50,12:28:54.64,-1.2789,-1.09528,0.43364,1.26667,-0.43333,2.0,3
51,12:28:54.70,-1.18135,-1.32983,0.73051,2.63333,0.46667,2.5,3
52,12:28:54.76,-1.73298,-0.72736,0.32248,1.46667,1.03333,2.16667,3
53,12:28:54.83,-3.75353,0.33191,-0.34218,0.96667,0.9,1.3,3
54,12:28:54.89,-3.77656,0.35552,-0.39315,1.1,0.43333,0.7,3
55,12:28:54.95,-3.45002,-0.381,-0.06026,0.8,0.76667,0.4,3
