,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
0,RobustScaler,4,10,k-means++,euclidean,0.43122364446179595,0.8254865784497346,4293.438105448734,1.298960746031501,1.0,1.0,1.0,0.9999999999999997,0.9999999999999999
2,RobustScaler,4,10,random,euclidean,0.43122364446179595,0.8254865784497346,4293.438105448735,1.2989607460315007,1.0,0.9999999999999997,1.0,1.0,0.9999999999999999
4,RobustScaler,4,20,k-means++,euclidean,0.43122364446179595,0.8254865784497346,4293.438105448734,1.298960746031501,1.0,1.0,1.0,0.9999999999999997,0.9999999999999999
6,RobustScaler,4,20,random,euclidean,0.43122364446179595,0.8254865784497346,4293.438105448734,1.2989607460315007,1.0,0.9999999999999997,1.0,0.9999999999999997,0.9999999999999998
5,RobustScaler,4,20,k-means++,manhattan,0.3488933550696253,0.8254865784497347,4293.438105448734,0.826499847772053,0.6176065730345439,0.23781821642027853,0.9999999999999999,0.9999999999999997,0.7138561973637055
7,RobustScaler,4,20,random,manhattan,0.3488933550696253,0.8254865784497346,4293.438105448734,0.826499847772053,0.6176065730345439,0.23781821642027853,1.0,0.9999999999999997,0.7138561973637055
1,RobustScaler,4,10,k-means++,manhattan,0.3484608438195804,0.826331119513626,4293.433906243677,0.8252910583320471,0.6155977199098092,0.23586817717946476,0.9988183870398728,0.9999985474900043,0.7125707079047877
10,RobustScaler,5,10,random,euclidean,0.3057307024203095,0.9368922317963694,3826.2527950618037,0.7688200044975052,0.4171321815882642,0.14476813336461794,0.8441302981535742,0.8384000486381874,0.561107665436161
13,RobustScaler,5,20,k-means++,manhattan,0.3057603921668269,1.0425636671335528,3847.1977350034576,0.7776249982779714,0.4172700793656235,0.15897249586049325,0.6962834463565493,0.8456449281337436,0.5295427374291024
12,RobustScaler,5,20,k-means++,euclidean,0.31295497944486034,1.0425221137523122,3847.1927944864347,0.7499539669009183,0.4506862486170693,0.11433312755266103,0.6963415844577149,0.8456432192030626,0.5267510449576269
8,RobustScaler,5,10,k-means++,euclidean,0.31303242402238746,1.0425636671335528,3847.1977350034576,0.7495621746973496,0.45104594973823775,0.11370108184981302,0.6962834463565493,0.8456449281337436,0.5266688515195859
11,RobustScaler,5,10,random,manhattan,0.30012981402402633,1.0232565137473923,3846.8640941478297,0.7664278854092635,0.39111814806891354,0.14090912704276584,0.7232964403241031,0.8455295213672143,0.5252133092007492
15,RobustScaler,5,20,random,manhattan,0.3001449377894175,1.0229649661013889,3846.8777557463113,0.7661256524688501,0.39118839230732494,0.14042155983364973,0.7237043500063451,0.8455342469302854,0.5252121372694013
14,RobustScaler,5,20,random,euclidean,0.3124601412759704,1.0428870779358679,3847.190172909677,0.7462850169454075,0.44838791024619584,0.10841431642721558,0.6958309563453474,0.845642312396562,0.5245688738538301
3,RobustScaler,4,10,random,manhattan,0.2928361197111293,1.1468954627325627,4174.832677604952,0.7860915079251204,0.35724166367734533,0.17263081011958212,0.5503109091952549,0.9589742422446283,0.5097894063092027
9,RobustScaler,5,10,k-means++,manhattan,0.3071854717886886,1.1866523270737221,3845.4489166375797,0.6913622468540561,0.42388904164943836,0.01981198971280992,0.4946863479180645,0.8450400097928128,0.4458568472682814
46,MinMaxScaler,5,20,random,euclidean,0.277759196372604,1.3366853520702584,1835.7072463651732,0.9694670615006118,0.2872149890952636,0.46845530481106823,0.28477237882563455,0.14986798930089018,0.2975776655082141
44,MinMaxScaler,5,20,k-means++,euclidean,0.277743158365588,1.3368413082418675,1835.7068598487788,0.9687897085184154,0.2871404985461617,0.4673625877079483,0.2845541776730037,0.14986785560441224,0.29723127988288145
42,MinMaxScaler,5,10,random,euclidean,0.2771168395585287,1.337676707897041,1835.5327696791514,0.960821648031688,0.2842314817459962,0.4545083799294456,0.28338535462621134,0.149807637608857,0.29298321347762757
40,MinMaxScaler,5,10,k-means++,euclidean,0.27686633007557876,1.3380632047289616,1835.5638645651363,0.9579060124429482,0.28306795881440194,0.4498048280768351,0.282844599788855,0.14981839336669237,0.29138394501169607
58,PowerTransformer,5,10,random,euclidean,0.27018681563808833,1.40811438587246,1412.2596353925278,0.9494903286960732,0.25204411042185515,0.43622850700589283,0.18483470180949987,0.0033969598912089363,0.2191260697821142
59,PowerTransformer,5,10,random,manhattan,0.27870744198367203,1.4093395073644854,1412.0964753689052,0.9105932946392615,0.29161923559431385,0.37347916435637335,0.18312061176154262,0.0033405226460828724,0.21288988358957817
61,PowerTransformer,5,20,k-means++,manhattan,0.2779074413108952,1.4081140501617866,1412.210878620514,0.9076233779495206,0.2879035314337148,0.3686880453283033,0.1848351715084874,0.0033800948661090163,0.21120171078415362
24,StandardScaler,5,10,k-means++,euclidean,0.25727133376922384,1.3616075677107262,1485.52235360103,0.8960566906025518,0.19205652372432838,0.3500284728119328,0.24990324782071868,0.028738620760902542,0.2051817162794706
26,StandardScaler,5,10,random,euclidean,0.2560917200570049,1.3601806792786497,1486.0049857827362,0.8978765829862831,0.18657765885890581,0.3529643534912982,0.2518996337113329,0.028905563803321307,0.20508680246621452
60,PowerTransformer,5,20,k-means++,euclidean,0.2672321182424331,1.4157853794514437,1410.8854347093918,0.9182949843890408,0.2383206452049582,0.3859036584291948,0.17410207338263076,0.0029216222497659215,0.2003119998166374
