,Scaler,Clusters,n_init,Init,Metric,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Dunn Index,Silhouette Score Norm,Dunn Index Norm,Davies-Bouldin Score Norm,Calinski-Harabasz Score Norm,Combined Score
29,StandardScaler,3,20,k-means++,manhattan,0.2943179728459786,1.4590412675137667,962.8531493456841,1.017632814668083,0.3589260638488157,0.0,0.3741306245463055,0.027056424446492672,0.1900282782104035
63,PowerTransformer,3,20,random,manhattan,0.3263740239515144,1.5809662413036936,940.5256312490027,1.0369614808107126,0.5267429589946698,0.030431878404068656,0.170803617379394,0.0040562918181403914,0.18300868664906822
57,PowerTransformer,3,10,k-means++,manhattan,0.32622516834533233,1.5821119386318465,940.5702439347671,1.0355331090848139,0.5259636837941069,0.02818298888641641,0.1688930062747828,0.004102248457165138,0.1817854818531178
61,PowerTransformer,3,20,k-means++,manhattan,0.3263855688425647,1.5828167009244858,940.5744365967929,1.033228227044499,0.5268033977481671,0.024554084053098123,0.1677177162314703,0.004106567422768153,0.1807954413638759
28,StandardScaler,3,20,k-means++,euclidean,0.27456600526481983,1.4590412675137667,962.8531493456841,1.0549673611655377,0.25552237692621743,0.05878110630592226,0.3741306245463055,0.027056424446492672,0.1788726330562345
30,StandardScaler,3,20,random,euclidean,0.2751133589609907,1.4614827153271472,962.8774406924101,1.0544804942967472,0.2583878327347197,0.058014562290899664,0.3700591676362211,0.027081447567916247,0.17838575255743916
26,StandardScaler,3,10,random,euclidean,0.27553764972830996,1.4766714407396604,962.7362951454459,1.0405187652536325,0.2606090407985624,0.03603261912858596,0.3447298361234883,0.026936050023683076,0.16707688651857994
24,StandardScaler,3,10,k-means++,euclidean,0.27474916150600115,1.4798475773306015,962.7816663842516,1.0362570868496594,0.256481219661414,0.029322850434256892,0.33943318255600796,0.026982788067093262,0.16305501017969304
27,StandardScaler,3,10,random,manhattan,0.2514201976643517,1.4683260476290385,961.4773059903176,1.06826434470992,0.13435157037970863,0.07971644573273777,0.35864695049365597,0.025639133930267816,0.14958852513409257
17,StandardScaler,2,10,k-means++,manhattan,0.2571078250003797,1.6610258883975146,1061.6856418686789,1.1685535911885643,0.164126914733152,0.2376161234214421,0.037292918689617954,0.1288662371707015,0.1419755485037284
21,StandardScaler,2,20,k-means++,manhattan,0.257246059731384,1.661187121252503,1061.6829196190863,1.1676229986524802,0.16485058850326442,0.23615095874360717,0.03702404027330414,0.12886343291357782,0.1417222551084384
23,StandardScaler,2,20,random,manhattan,0.2565980408073876,1.6619472165734794,1061.6847542406615,1.1677116549660966,0.16145813933780703,0.2362905430344123,0.03575647463870319,0.12886532280296767,0.14059261995347255
