Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,12:44:31.43,-7.65386,2.591,0.3516,0.0,0.0,-0.0,0
1,12:44:31.49,-7.42342,2.561,0.25025,0.0,0.0,-0.0,0
2,12:44:31.56,-7.15117,2.62,0.06371,0.03333,0.0,-0.0,0
3,12:44:31.62,-6.72281,2.44198,0.32635,0.0,0.0,-0.0,0
4,12:44:31.68,-6.11339,2.41852,0.25337,0.0,0.0,-0.03333,0
5,12:44:31.75,-5.0996,1.97642,0.23353,0.03333,0.0,-0.0,0
6,12:44:31.81,-4.18881,1.60709,0.30057,0.0,0.0,-0.0,0
7,12:44:31.87,-3.65691,1.57707,0.25043,0.03333,0.0,-0.0,0
8,12:44:31.94,-2.67342,1.08022,0.29994,0.03333,0.0,-0.0,0
9,12:44:32.00,-2.26507,0.84982,0.18864,0.0,0.0,-0.0,0
10,12:44:32.06,-1.79722,0.49517,0.13008,0.03333,0.0,-0.0,0
11,12:44:32.12,-1.29017,0.58317,0.18558,0.06667,0.0,-0.0,0
12,12:44:32.19,-1.097,0.35,0.36828,0.03333,0.0,-0.0,0
13,12:44:32.25,-0.87301,0.17601,0.18931,0.0,0.0,-0.03333,0
14,12:44:32.31,-0.56977,0.24401,0.2151,0.03333,0.0,-0.0,0
15,12:44:32.38,-0.54061,0.04925,0.42845,0.03333,0.0,-0.0,0
16,12:44:32.44,-0.62861,0.18625,0.31586,0.0,0.0,-0.03333,0
17,12:44:32.50,-0.49161,0.05925,0.17913,-0.03333,0.0,-0.03333,0
18,12:44:32.57,-0.08649,0.00977,0.23684,0.0,0.0,-0.0,0
19,12:44:32.63,-0.01749,-0.09823,0.25249,0.0,0.0,-0.0,0
20,12:44:32.69,-0.00749,-0.05823,0.13682,0.0,0.0,-0.0,0
21,12:44:32.75,-0.02749,-0.03923,0.14706,0.03333,0.0,-0.0,0
22,12:44:32.82,0.04338,0.00077,0.21523,0.03333,0.0,-0.0,0
23,12:44:32.88,0.05338,-0.22539,0.34683,0.03333,0.0,-0.0,0
24,12:44:32.95,-0.01562,-0.21639,0.18928,0.0,0.0,-0.0,0
25,12:44:33.01,-0.00562,-0.30439,0.21898,0.03333,0.0,-0.0,0
26,12:44:33.07,-0.03562,-0.18639,0.26194,0.03333,0.0,-0.0,0
27,12:44:33.14,0.20271,-0.29439,0.39456,0.03333,0.0,-0.0,0
28,12:44:33.20,0.14371,-0.20639,0.3224,0.0,0.0,-0.0,0
29,12:44:33.26,0.11471,-0.14739,0.20559,0.0,0.0,-0.0,0
30,12:44:33.33,0.19271,-0.17639,0.18651,0.0,0.0,-0.0,4
31,12:44:33.39,0.29071,-0.18639,0.20342,0.0,0.0,-0.03333,4
32,12:44:33.46,0.29071,-0.19639,0.19627,0.0,0.0,-0.0,4
33,12:44:33.52,0.16371,-0.12739,0.05407,0.03333,0.0,-0.0,4
34,12:44:33.58,0.21271,-0.26539,0.04608,0.03333,-0.03333,-0.0,4
35,12:44:33.64,0.18271,-0.23539,0.07086,0.06667,0.0,-0.0,4
36,12:44:33.70,-0.15029,-0.00039,0.52279,0.06667,0.06667,-0.03333,4
