,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,10:43:55.22,-10.99226,2.635,0.26727,0.06667,0.0,-0.0
1,10:43:55.28,-10.86622,2.645,0.2219,0.03333,0.03333,-0.0
2,10:43:55.34,-10.5876,2.84817,0.03502,0.0,0.0,-0.03333
3,10:43:55.41,-10.57486,3.03146,0.1903,0.0,-0.03333,-0.0
4,10:43:55.47,-9.99572,3.21282,0.25945,0.06667,0.03333,-0.0
5,10:43:55.54,-8.8498,3.01146,0.34277,0.03333,0.0,-0.03333
6,10:43:55.60,-7.8374,2.86817,0.27562,0.03333,0.03333,-0.0
7,10:43:55.66,-6.56891,2.48001,0.15961,0.0,0.0,-0.03333
8,10:43:55.73,-5.50642,2.13777,0.29235,0.0,0.0,-0.0
9,10:43:55.79,-4.08417,1.63449,0.23535,0.03333,0.0,-0.0
10,10:43:55.85,-3.21661,1.36529,0.26021,0.0,0.0,-0.0
11,10:43:55.92,-2.73062,1.15654,0.28119,0.03333,0.0,-0.0
12,10:43:55.98,-2.45054,1.00542,0.22107,0.0,0.0,-0.03333
13,10:43:56.04,-1.70042,0.66431,0.21303,0.0,0.0,-0.03333
14,10:43:56.11,-1.167,0.44442,0.21096,0.03333,0.0,-0.0
15,10:43:56.17,-1.275,0.36136,0.28159,0.0,0.0,-0.0
16,10:43:56.23,-0.88364,0.39036,0.26597,0.0,0.0,-0.0
17,10:43:56.30,-0.63358,0.13221,0.21843,0.03333,0.0,-0.0
18,10:43:56.36,-0.54169,-0.029,0.32406,0.0,0.0,-0.0
19,10:43:56.43,-0.50269,0.019,0.16471,0.03333,0.0,-0.0
20,10:43:56.49,-0.322,-0.049,0.25046,0.0,0.03333,-0.0
21,10:43:56.55,-0.43,0.038,0.23464,0.0,0.0,-0.0
22,10:43:56.61,-0.39,-0.01,0.13221,0.0,0.0,-0.03333
23,10:43:56.67,-0.27858,0.087,0.34257,0.0,0.0,-0.03333
24,10:43:56.74,-0.10258,0.019,0.1284,0.06667,0.0,-0.0
25,10:43:56.80,-0.18058,0.0,0.15706,0.03333,0.06667,-0.0
26,10:43:56.86,-0.23958,0.077,0.20287,0.0,-0.06667,-0.0
27,10:43:56.93,-0.04358,0.009,0.20009,0.03333,0.0,-0.0
28,10:43:56.99,-0.05358,0.038,0.19132,0.0,0.0,-0.0
29,10:43:57.05,-0.20058,0.077,0.11147,0.03333,0.0,-0.0
30,10:43:57.12,-0.26858,0.048,0.27418,0.0,0.03333,-0.0
31,10:43:57.18,0.01854,-0.01,0.30857,0.0,0.0,-0.0
32,10:43:57.25,-0.05946,0.058,0.22122,0.03333,0.0,-0.0
33,10:43:57.31,0.10654,0.038,0.16272,0.03333,0.03333,-0.0
34,10:43:57.37,0.08754,0.068,0.18468,0.0,-0.06667,-0.0
35,10:43:57.43,-0.09846,0.048,0.19646,0.06667,0.03333,-0.0
36,10:43:57.49,0.15654,-0.078,0.31308,0.0,-0.03333,-0.0
37,10:43:57.56,-0.03046,0.117,0.37297,0.03333,-0.03333,-0.0
38,10:43:57.62,-0.13846,0.097,0.22155,0.03333,0.06667,-0.0
39,10:43:57.69,0.16554,-0.088,0.30337,0.0,0.0,-0.0
40,10:43:57.75,-0.11846,0.136,0.13295,0.0,0.0,-0.0
41,10:43:57.81,0.00854,0.009,0.14498,0.06667,0.03333,-0.03333
42,10:43:57.88,0.12654,0.077,0.40413,0.0,0.0,-0.0
43,10:43:57.94,-0.06946,0.087,0.16457,0.06667,0.0,-0.0
44,10:43:58.01,0.03854,-0.02,0.27675,0.0,0.0,-0.0
45,10:43:58.07,-0.01046,0.097,0.28271,0.0,0.0,-0.0
46,10:43:58.13,0.23454,-0.01,0.24788,0.06667,0.0,-0.0
47,10:43:58.19,-0.05946,0.0,0.15312,-0.03333,0.0,-0.0
48,10:43:58.25,-0.11846,0.107,0.29579,0.06667,0.0,-0.0
49,10:43:58.31,-0.02046,0.019,0.14841,0.0,0.0,-0.03333
50,10:43:58.38,0.04854,-0.01,0.4307,0.03333,0.0,-0.0
51,10:43:58.44,-0.13846,0.048,0.19173,0.0,0.0,-0.03333
52,10:43:58.50,-0.07946,-0.01,0.2422,0.0,-0.03333,-0.03333
53,10:43:58.57,0.05754,0.0,0.25587,0.03333,0.03333,-0.0
54,10:43:58.63,-0.10846,0.126,0.22788,0.0,0.0,-0.03333
55,10:43:58.70,0.12654,0.009,0.24855,0.0,0.0,-0.03333
56,10:43:58.76,0.07754,0.107,0.17622,0.0,0.0,-0.03333
57,10:43:58.82,0.05754,0.087,0.12987,0.0,-0.06667,-0.03333
58,10:43:58.88,-0.02046,0.058,0.39008,0.06667,0.1,-0.0
59,10:43:58.94,0.08754,0.195,0.17644,0.0,0.0,-0.0
60,10:43:59.01,0.08754,0.009,0.36828,0.0,0.0,-0.0
61,10:43:59.07,0.09754,0.028,0.18342,0.0,0.03333,-0.0
62,10:43:59.14,-0.15746,0.293,0.16,0.0,-0.03333,-0.0
63,10:43:59.20,0.01854,0.019,0.30858,0.06667,0.03333,-0.0
64,10:43:59.26,0.11654,0.0,0.28814,0.0,0.0,-0.0
65,10:43:59.32,-0.06946,0.058,0.24114,0.0,-0.03333,-0.0
66,10:43:59.39,0.07754,-0.02,0.3308,0.0,0.06667,-0.0
67,10:43:59.45,-0.02046,0.215,0.25705,-0.03333,-0.06667,-0.03333
68,10:43:59.52,-0.04946,-0.12321,-0.01236,0.03333,0.06667,-0.03333
69,10:43:59.58,0.00854,0.08279,0.3029,0.03333,0.0,-0.03333
70,10:43:59.64,0.04854,-0.14321,0.22728,0.03333,-0.03333,-0.0
71,10:43:59.71,-0.14846,-0.12321,0.14491,0.0,0.03333,-0.0
72,10:43:59.77,-0.15746,0.08279,0.34254,0.06667,0.0,-0.0
73,10:43:59.84,-0.00046,-0.17121,0.07802,0.06667,0.06667,-0.0
74,10:43:59.90,-0.01046,-0.12321,0.21533,0.03333,-0.03333,-0.0
75,10:43:59.96,-0.00046,0.156,0.33061,0.03333,0.0,-0.0
76,10:44:00.03,0.03854,-0.10321,0.05493,0.06667,0.1,-0.0
77,10:44:00.09,0.01854,0.097,0.41561,0.0,-0.06667,-0.0
78,10:44:00.15,-0.03046,-0.09421,0.09177,0.03333,0.03333,-0.0
79,10:44:00.22,-0.02046,-0.10321,0.33196,0.0,0.0,-0.0
80,10:44:00.28,-0.03046,0.077,0.16958,0.0,0.0,-0.0
