,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,10:39:54.87,-9.89617,4.14382,0.16733,0.0,0.0,-0.0,0
1,10:39:54.93,-10.03317,4.15382,0.19331,0.0,0.0,-0.0,0
2,10:39:54.99,-9.45336,4.00146,0.25303,0.03333,0.0,-0.0,0
3,10:39:55.06,-8.6097,3.684,0.2321,0.0,0.0,-0.0,0
4,10:39:55.12,-7.47275,3.27425,0.21071,0.0,0.0,-0.0,0
5,10:39:55.18,-6.50991,2.96061,0.1841,0.03333,0.0,-0.0,0
6,10:39:55.24,-5.59165,2.44562,0.18975,0.03333,0.0,-0.0,0
7,10:39:55.31,-4.48322,1.93642,0.25624,0.03333,0.0,-0.0,0
8,10:39:55.37,-3.46177,1.53242,0.28062,0.03333,0.03333,-0.0,0
9,10:39:55.43,-2.68162,1.08221,0.20054,0.0,0.03333,-0.0,0
10,10:39:55.50,-2.36254,1.009,0.18256,0.0,-0.03333,-0.0,0
11,10:39:55.56,-1.67042,0.76879,0.14654,0.0,0.0,-0.0,0
12,10:39:55.62,-1.50936,0.75979,0.16543,0.0,0.0,-0.0,0
13,10:39:55.68,-1.167,0.59764,0.31104,0.0,0.0,-0.0,0
14,10:39:55.75,-0.97579,0.46658,0.29292,0.0,0.0,-0.0,0
15,10:39:55.81,-0.70258,0.32469,0.15994,0.0,0.0,-0.03333,0
16,10:39:55.87,-0.65358,0.33469,0.13571,0.03333,0.0,-0.0,0
17,10:39:55.94,-0.44369,0.30469,0.21442,0.06667,0.0,-0.0,0
18,10:39:56.00,-0.48269,0.144,0.33503,0.03333,0.0,-0.0,0
19,10:39:56.07,-0.302,0.115,0.24516,0.0,0.0,-0.0,0
20,10:39:56.13,-0.42,0.154,0.10964,0.0,0.0,-0.0,0
21,10:39:56.19,-0.381,0.203,0.14777,0.03333,0.0,-0.0,0
22,10:39:56.26,-0.02358,0.164,0.3344,0.0,0.0,-0.0,0
23,10:39:56.32,-0.17058,0.174,0.25519,0.0,0.0,-0.0,0
24,10:39:56.38,-0.26858,0.164,0.19867,0.0,0.0,-0.0,0
25,10:39:56.45,-0.21958,-0.00642,0.1264,0.0,0.0,-0.0,0
26,10:39:56.51,-0.06358,-0.03642,0.316,0.03333,0.0,-0.0,0
27,10:39:56.57,-0.11258,-0.02642,0.21647,0.0,0.0,-0.0,0
28,10:39:56.64,-0.19058,-0.02642,0.15896,0.03333,0.0,-0.03333,0
29,10:39:56.70,0.05754,-0.03642,0.25463,0.03333,0.0,-0.0,0
30,10:39:56.76,-0.02046,-0.01642,0.23603,0.03333,0.0,-0.0,0
31,10:39:56.83,0.02854,-0.00642,0.2314,0.03333,0.0,-0.0,0
32,10:39:56.89,0.03854,0.01258,0.12673,0.03333,0.0,-0.0,0
33,10:39:56.95,0.05754,0.02258,0.30826,0.03333,0.0,-0.0,0
34,10:39:57.01,0.02854,-0.01642,0.2021,0.0,0.0,-0.0,0
35,10:39:57.08,0.00854,-0.02642,0.19364,0.0,0.0,-0.0,0
36,10:39:57.14,0.05754,-0.00642,0.16174,0.0,0.0,-0.0,0
