,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,09:51:14.00,-8.70856,-0.98579,0.28508,0.0,0.0,-0.0,0
1,09:51:14.06,-8.6791,-0.50269,0.19488,0.03333,0.0,-0.0,0
2,09:51:14.12,-8.66567,-0.322,0.261,0.03333,0.0,-0.0,0
3,09:51:14.19,-8.65888,-0.322,0.22871,0.0,0.0,-0.0,0
4,09:51:14.25,-8.52322,-0.312,0.27601,0.03333,0.0,-0.0,0
5,09:51:14.31,-8.50763,-0.341,0.23191,0.0,0.0,-0.0,0
6,09:51:14.38,-8.43135,0.13342,0.39033,0.06667,-0.03333,-0.0,0
7,09:51:14.44,-8.19286,0.28042,0.91895,0.0,-0.03333,-0.1,0
8,09:51:14.51,-7.44786,-0.26858,1.11477,-0.16667,0.0,-0.0,0
9,09:51:14.57,-7.55238,-0.13846,0.22997,-0.13333,0.0,0.13333,0
10,09:51:14.63,-8.11915,0.00854,-0.3981,-0.03333,-0.13333,0.2,0
11,09:51:14.70,-8.86488,0.26042,-0.59656,0.13333,-0.06667,0.1,0
12,09:51:14.76,-8.95288,0.55442,-0.17826,0.1,-0.06667,-0.0,0
13,09:51:14.83,-8.67117,0.39154,-0.2223,0.06667,-0.03333,-0.06667,0
14,09:51:14.89,-7.83971,0.52229,0.45226,0.2,-0.13333,-0.16667,0
15,09:51:14.95,-7.12481,0.43662,1.02863,0.03333,-0.1,-0.13333,0
16,09:51:15.01,-7.17335,0.40662,0.42275,-0.06667,-0.06667,-0.0,0
17,09:51:15.08,-7.18936,0.26962,-0.00346,-0.06667,0.03333,0.06667,0
18,09:51:15.14,-7.14961,0.35762,-0.18919,-0.03333,0.0,0.1,0
19,09:51:15.20,-7.0939,0.29629,-0.26564,0.03333,0.03333,0.06667,0
20,09:51:15.26,-6.50672,0.33529,0.09843,0.06667,0.03333,0.03333,0
21,09:51:15.33,-5.52281,0.46329,0.18122,0.1,-0.06667,-0.03333,0
22,09:51:15.39,-5.39417,0.43329,0.42623,0.1,-0.03333,-0.03333,0
23,09:51:15.45,-4.82378,0.57362,0.63569,0.03333,0.0,-0.06667,0
24,09:51:15.52,-4.61778,0.46562,0.45992,0.06667,0.0,-0.03333,0
25,09:51:15.58,-4.50568,0.18829,0.2581,0.0,0.0,0.03333,0
26,09:51:15.64,-4.37551,0.14929,0.13351,-0.03333,0.0,0.03333,0
