,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,14:50:23.15,-5.13372,0.10701,0.59519,-0.2,0.16667,0.16667
1,14:50:23.21,-5.33972,0.45001,0.00277,-0.16667,-0.06667,0.06667
2,14:50:23.27,-6.25039,0.88717,-0.00021,0.13333,-0.03333,-0.0
3,14:50:23.33,-7.16588,1.30959,0.29157,0.06667,-0.13333,-0.0
4,14:50:23.40,-7.71742,1.60589,0.2224,0.06667,0.0,-0.0
5,14:50:23.46,-7.79335,1.68507,0.18624,0.1,0.0,-0.0
6,14:50:23.52,-8.15196,1.89109,0.26577,0.0,-0.03333,-0.03333
7,14:50:23.58,-8.25367,2.06689,0.12582,0.16667,0.06667,-0.06667
8,14:50:23.64,-8.11802,1.96889,0.48976,0.0,0.0,-0.06667
9,14:50:23.71,-8.3261,2.25042,0.19409,0.1,0.03333,-0.1
10,14:50:23.77,-7.93596,2.21765,0.36155,0.0,0.06667,-0.06667
11,14:50:23.83,-7.86873,2.47265,0.3129,0.0,-0.03333,-0.03333
12,14:50:23.89,-7.64386,2.42365,0.29657,0.06667,0.06667,-0.03333
13,14:50:23.96,-7.28515,2.31565,0.19034,0.03333,-0.03333,-0.03333
14,14:50:24.02,-6.91672,2.13342,0.17865,0.1,0.0,-0.0
15,14:50:24.08,-6.72281,2.03789,0.22959,0.06667,-0.03333,-0.0
16,14:50:24.14,-6.49586,2.00789,0.30145,0.1,0.03333,-0.0
17,14:50:24.21,-6.10339,1.84209,0.29261,0.0,0.0,-0.0
18,14:50:24.27,-5.79125,1.71507,0.13916,0.06667,0.0,-0.0
19,14:50:24.33,-5.1676,1.48789,0.18467,0.06667,0.0,-0.0
20,14:50:24.39,-4.83894,1.40759,0.28024,0.06667,0.0,-0.0
21,14:50:24.45,-4.37364,1.40759,0.19019,0.13333,0.03333,-0.03333
22,14:50:24.51,-3.97217,1.28959,0.46123,0.03333,-0.06667,-0.0
23,14:50:24.58,-4.15678,1.21722,0.28584,0.1,0.0,-0.0
24,14:50:24.64,-3.89768,1.09922,0.21789,0.03333,0.0,-0.0
25,14:50:24.70,-3.62152,1.05582,0.07956,0.03333,0.0,-0.03333
26,14:50:24.76,-2.76765,0.74646,0.24823,0.1,0.0,-0.03333
27,14:50:24.82,-2.55542,0.82546,0.24947,0.03333,-0.03333,-0.0
28,14:50:24.89,-2.39309,0.66217,0.2998,0.03333,-0.03333,-0.0
29,14:50:24.95,-2.19607,0.63217,0.24793,0.06667,0.0,-0.0
30,14:50:25.01,-2.23389,0.73017,0.21826,0.06667,0.0,-0.0
31,14:50:25.07,-2.09459,0.576,0.21356,0.1,0.0,-0.0
32,14:50:25.13,-1.67482,0.419,0.35049,0.1,0.0,-0.0
33,14:50:25.20,-1.79282,0.586,0.26422,0.06667,-0.03333,-0.0
34,14:50:25.26,-1.59046,0.38201,0.20341,0.1,0.03333,-0.0
35,14:50:25.32,-1.27117,0.20501,0.46268,0.0,-0.13333,-0.0
36,14:50:25.38,-1.577,0.43101,0.1457,0.1,-0.1,-0.0
37,14:50:25.44,-1.21601,0.26401,0.26774,0.16667,0.0,-0.0
38,14:50:25.51,-1.20601,0.37201,0.46743,0.06667,-0.16667,0.06667
39,14:50:25.57,-0.75625,0.30301,0.60131,0.1,-0.03333,0.13333
40,14:50:25.63,-1.08925,0.33301,0.95147,0.0,0.03333,0.16667
41,14:50:25.69,-0.81401,0.48001,-0.03707,0.2,0.43333,-0.0
42,14:50:25.76,-0.37446,0.12701,0.73433,0.0,0.56667,0.23333
43,14:50:25.82,-0.45659,0.44001,0.97996,-0.06667,0.9,0.3
44,14:50:25.88,-3.28142,1.05925,4.03867,0.36667,1.9,0.4
45,14:50:25.95,-5.98978,1.59877,5.86101,-1.6,3.4,-0.3
46,14:50:26.01,-4.57472,-0.44638,4.24242,-2.86667,3.66667,-1.1
47,14:50:26.07,-3.30935,-1.62969,0.98179,-3.46667,2.83333,-1.0
48,14:50:26.13,-2.17615,-2.46264,-0.09407,-3.56667,2.8,-1.06667
49,14:50:26.19,-1.44473,-2.63864,-0.24377,-2.86667,1.96667,-0.7
50,14:50:26.26,-0.99296,-3.03579,-0.02598,-2.86667,1.2,-0.26667
51,14:50:26.32,-1.40953,-2.03479,-0.08138,-2.2,1.23333,-0.5
52,14:50:26.38,-1.38356,-1.30564,-3.35388,-1.8,0.93333,-0.26667
53,14:50:26.44,-1.73,-0.50658,-5.83777,-1.83333,0.5,-0.03333
54,14:50:26.51,-1.014,0.18942,-7.08687,-1.06667,0.1,-0.2
55,14:50:26.57,0.064,0.13531,-6.46613,-0.63333,0.06667,-0.3
56,14:50:26.63,-0.09151,-0.253,-8.44605,-0.26667,-0.2,-0.13333
57,14:50:26.69,0.143,-0.05358,-7.3586,0.33333,-0.36667,-0.0
58,14:50:26.75,-0.18502,-0.498,-7.98092,0.86667,-0.76667,0.2
59,14:50:26.82,0.49074,-0.44369,-2.98747,1.7,-1.23333,0.36667
60,14:50:26.88,-0.28153,-0.79669,-1.46771,1.56667,-2.26667,0.93333
61,14:50:26.94,-0.17073,-0.42679,-0.04047,2.63333,-2.5,1.06667
62,14:50:27.00,-0.88677,0.42579,0.2403,2.36667,-2.6,1.8
63,14:50:27.07,-2.16139,0.53458,-0.19588,2.06667,-2.03333,1.63333
64,14:50:27.13,-3.56417,0.34264,0.321,2.16667,-1.73333,1.76667
65,14:50:27.19,-1.62678,-0.50421,0.44038,1.56667,-1.36667,1.53333
66,14:50:27.25,-2.749,1.921,1.89509,1.46667,-1.7,1.53333
67,14:50:27.32,-3.39565,-0.36779,0.08685,1.2,-0.83333,1.13333
68,14:50:27.38,-1.68607,-0.15869,0.43433,0.9,-0.86667,0.73333
69,14:50:27.44,-2.61122,1.11242,1.26445,1.36667,-1.0,0.63333
70,14:50:27.50,-2.37546,-0.19138,0.9842,0.43333,-0.46667,0.7
71,14:50:27.56,-2.028,0.51649,0.82318,0.53333,-0.46667,0.36667
72,14:50:27.62,-2.45,0.42984,1.13403,0.56667,-0.36667,0.5
73,14:50:27.68,-2.792,0.82377,1.18312,0.43333,-0.1,0.2
74,14:50:27.75,-2.548,1.19677,1.26382,0.43333,0.06667,0.03333
75,14:50:27.81,-1.813,0.74525,0.99537,0.16667,-0.03333,-0.0
76,14:50:27.87,-1.626,0.53925,0.37022,-0.06667,-0.13333,-0.06667
77,14:50:27.93,-1.518,0.68625,0.27215,0.0,0.06667,-0.2
78,14:50:28.00,-1.254,0.50977,-0.02909,0.06667,0.0,-0.13333
79,14:50:28.06,-0.85301,0.12761,0.35853,-0.03333,0.0,-0.06667
80,14:50:28.12,-1.14701,0.44161,0.06834,0.03333,0.06667,-0.13333
81,14:50:28.19,-1.19601,0.48061,0.36537,0.1,0.1,-0.0
82,14:50:28.25,-1.23601,0.26384,0.2832,0.06667,0.03333,-0.0
83,14:50:28.31,-1.33401,0.27384,0.29799,-0.03333,-0.06667,-0.03333
84,14:50:28.40,-1.14701,0.17484,0.28056,0.0,-0.06667,-0.0
85,14:50:28.46,-0.82525,0.13584,0.18693,0.03333,0.03333,-0.0
86,14:50:28.53,-0.93225,0.09549,0.17015,0.0,0.0,-0.06667
87,14:50:28.59,-1.00125,0.13449,0.1357,0.13333,0.16667,-0.03333
88,14:50:28.65,-0.94225,0.03649,0.18757,0.06667,0.0,-0.03333
89,14:50:28.71,-0.80525,0.08549,0.37652,0.2,0.06667,-0.03333
90,14:50:28.77,-0.72625,0.05549,0.56009,0.1,-0.06667,-0.0
91,14:50:28.84,-0.83425,0.00649,0.38441,0.0,-0.06667,-0.0
92,14:50:28.90,-1.05025,0.14449,0.24093,0.06667,0.03333,-0.03333
93,14:50:28.96,-0.85425,-0.10051,0.1847,0.03333,0.03333,-0.0
94,14:50:29.02,-0.75677,0.07549,0.20215,0.03333,-0.06667,-0.1
95,14:50:29.09,-0.70777,0.11449,0.27842,0.03333,0.0,-0.06667
96,14:50:29.15,-0.58977,-0.17138,0.29467,0.06667,0.0,-0.03333
97,14:50:29.21,-0.68777,-0.10338,0.25058,0.0,0.0,-0.03333
98,14:50:29.27,-0.50061,-0.03438,0.20584,0.06667,0.03333,-0.03333
99,14:50:29.34,-0.45161,-0.05438,0.15151,0.1,0.0,-0.0
100,14:50:29.40,-0.46161,-0.03438,0.30497,0.06667,0.0,-0.0
101,14:50:29.46,-0.31384,-0.06338,0.31586,0.1,0.0,-0.0
102,14:50:29.52,-0.27484,-0.26938,0.29824,0.1,0.03333,-0.0
103,14:50:29.59,-0.43084,-0.06338,0.16861,0.03333,-0.03333,-0.0
104,14:50:29.65,-0.24484,-0.23038,0.26885,0.16667,0.03333,-0.0
105,14:50:29.71,-0.14684,-0.27938,0.41194,0.0,-0.06667,-0.0
106,14:50:29.77,-0.52884,-0.07338,0.26902,0.16667,0.0,-0.0
107,14:50:29.84,-0.18584,-0.30938,0.38355,0.03333,0.0,-0.0
108,14:50:29.90,-0.48984,-0.18138,0.10419,0.03333,-0.03333,-0.0
109,14:50:29.96,-0.35284,-0.25038,0.21931,0.13333,0.03333,-0.0
110,14:50:30.02,-0.22484,-0.24038,0.41251,0.03333,-0.03333,-0.0
111,14:50:30.09,-0.39184,-0.17138,0.27481,0.1,0.03333,-0.03333
112,14:50:30.15,-0.27484,-0.17138,0.27271,0.06667,0.0,-0.0
113,14:50:30.21,-0.24484,-0.26038,0.3844,0.03333,-0.06667,-0.0
114,14:50:30.27,-0.22349,-0.12238,0.26707,0.06667,0.0,-0.0
115,14:50:30.34,-0.22349,-0.16238,0.21726,0.1,0.03333,-0.0
116,14:50:30.40,-0.05649,-0.32838,0.15032,0.03333,0.0,-0.0
117,14:50:30.46,-0.23349,-0.01438,0.1834,0.1,0.03333,-0.0
118,14:50:30.52,0.52151,0.22062,0.5415,0.0,0.0,0.23333
119,14:50:30.58,1.35551,1.10029,1.05088,-0.03333,-0.26667,0.73333
120,14:50:30.65,2.42451,1.23354,0.87506,0.26667,-0.23333,1.73333
