,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,15:08:52.61,-7.67335,0.178,0.27432,0.0,0.0,-0.03333
1,15:08:52.67,-7.73235,0.15431,0.33982,0.03333,0.0,-0.03333
2,15:08:52.73,-7.81071,0.04731,0.30304,-0.03333,0.0,-0.06667
3,15:08:52.79,-8.23488,0.24331,0.24237,0.0,0.0,-0.03333
4,15:08:52.85,-7.69715,0.33131,0.75679,-0.23333,0.13333,0.33333
5,15:08:52.92,-8.47867,0.40036,0.17292,-0.23333,0.5,0.26667
6,15:08:52.98,-8.85986,0.166,0.16625,0.0,-0.03333,0.03333
7,15:08:53.04,-8.79457,0.048,0.13311,-0.06667,0.0,-0.0
8,15:08:53.11,-9.23467,-0.12736,0.03301,0.13333,0.0,-0.06667
9,15:08:53.17,-8.88302,-0.31231,0.37673,0.23333,0.0,-0.03333
10,15:08:53.23,-8.46967,-0.87031,0.28667,1.03333,0.3,-0.1
11,15:08:53.29,-9.37488,-1.306,-1.75267,1.73333,-0.06667,-0.03333
12,15:08:53.36,-7.59076,-1.81231,0.22482,2.16667,-0.33333,-0.13333
13,15:08:53.42,-7.66273,-4.58836,0.7758,1.7,-0.16667,-0.03333
14,15:08:53.48,-7.50935,-4.23121,2.11483,0.5,0.4,0.46667
15,15:08:53.54,-7.24186,-5.10242,1.67515,-0.63333,-0.53333,0.26667
16,15:08:53.60,-7.86454,-4.58731,1.62237,-1.03333,0.36667,0.26667
17,15:08:53.67,-7.85638,-4.00642,0.16727,-1.16667,0.13333,-0.0
18,15:08:53.73,-7.80642,-2.99954,-0.45877,-1.03333,-0.53333,-0.0
19,15:08:53.79,-8.06015,-2.69929,-0.48603,-0.36667,0.3,-0.23333
20,15:08:53.85,-7.38388,-2.17929,0.20142,-0.23333,-0.1,-0.13333
21,15:08:53.91,-7.25077,-2.12029,-0.17827,0.0,0.1,-0.16667
22,15:08:53.97,-6.63335,-2.04229,0.2647,-0.06667,0.06667,-0.1
23,15:08:54.03,-6.54588,-2.09129,0.14293,-0.06667,-0.16667,-0.1
24,15:08:54.10,-6.4188,-2.06129,-0.1751,0.16667,0.3,-0.1
25,15:08:54.16,-6.6007,-2.63342,-1.70785,1.46667,0.26667,-0.5
26,15:08:54.22,-7.14425,-0.99164,-4.06468,3.2,-0.83333,-1.56667
27,15:08:54.28,-5.76072,1.07925,-5.17674,4.1,-0.13333,-1.06667
28,15:08:54.34,-4.92772,-0.75593,-2.01292,4.03333,-1.16667,-0.33333
29,15:08:54.41,-7.60425,-2.15719,-0.08219,3.36667,-0.66667,-0.4
30,15:08:54.47,-8.85839,-3.66428,0.44235,3.13333,-0.03333,-0.36667
31,15:08:54.53,-9.51571,-3.97712,0.4273,1.96667,0.43333,-0.13333
32,15:08:54.59,-10.48242,-2.93719,-0.21747,1.43333,-0.13333,-0.5
33,15:08:54.66,-11.89257,-3.91023,-0.34368,1.23333,0.03333,-0.76667
34,15:08:54.72,-11.05026,-3.25785,-0.96474,0.86667,0.16667,-0.53333
35,15:08:54.78,-9.99002,-2.02158,-7.06637,0.66667,0.8,-0.13333
36,15:08:54.84,-11.78676,-1.83362,-0.12724,0.56667,0.0,-0.16667
37,15:08:54.90,-13.12735,-1.08862,-1.68541,0.3,0.33333,0.26667
38,15:08:54.97,-12.48438,-1.11762,-0.80172,0.1,0.2,-0.03333
39,15:08:55.03,-12.27838,-1.46062,-0.5893,-0.16667,0.43333,0.16667
40,15:08:55.09,-11.92886,-1.49062,-0.40636,-0.46667,0.0,-0.16667
41,15:08:55.15,-12.24776,-2.03614,-0.59456,-0.93333,0.16667,0.03333
42,15:08:55.22,-11.26951,-1.13414,-0.90596,-1.23333,-0.3,-0.06667
43,15:08:55.28,-11.22535,-1.36914,0.02747,-1.7,0.7,0.23333
44,15:08:55.34,-10.28035,-1.97633,0.41468,-1.8,0.5,0.36667
45,15:08:55.40,-7.39772,-2.66429,1.2888,-3.13333,0.83333,0.8
46,15:08:55.46,-5.72094,-2.49754,1.4201,-2.66667,0.5,0.93333
47,15:08:55.53,-5.76564,-2.08606,0.72607,-2.73333,0.73333,0.86667
48,15:08:55.59,-3.97217,-0.53849,-0.29793,-2.73333,-0.16667,0.83333
49,15:08:55.65,-4.38868,-0.43293,-1.17641,-2.16667,0.2,0.56667
50,15:08:55.71,-4.23591,0.262,-1.78643,-2.03333,-0.06667,0.5
51,15:08:55.77,-3.73952,0.00462,-1.67382,-1.6,-0.46667,0.26667
52,15:08:55.84,-3.80598,-0.34364,-1.7902,-1.3,0.0,0.43333
53,15:08:55.90,-4.43298,0.14179,-1.84135,-0.9,-0.1,0.16667
54,15:08:55.96,-3.86665,-0.04831,-2.19519,-0.7,-0.43333,0.16667
55,15:08:56.03,-3.52642,-0.22242,-1.03234,-0.26667,0.03333,0.03333
56,15:08:56.08,-3.66442,-0.00954,-0.72849,0.0,0.03333,-0.03333
57,15:08:56.14,-3.42089,-0.00054,0.20988,0.2,0.0,-0.06667
58,15:08:56.21,-3.01889,-0.09854,0.41757,0.03333,0.0,-0.06667
59,15:08:56.27,-2.74609,-0.45154,0.4866,0.2,0.0,-0.06667
60,15:08:56.33,-2.90209,-0.13442,0.39453,0.1,0.1,0.03333
61,15:08:56.39,-3.05909,-0.14342,0.46565,0.1,-0.03333,-0.0
62,15:08:56.45,-2.93207,-0.20242,0.39041,0.13333,0.03333,-0.06667
