Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
0,12:34:59.80,-8.39502,7.47276,0.26487,0.03333,0.03333,-0.0,0
1,12:34:59.86,-9.22535,7.42376,0.22777,0.0,-0.03333,-0.03333,0
2,12:34:59.92,-6.5734,7.25973,0.2008,0.03333,0.03333,-0.0,0
3,12:34:59.99,-3.83409,6.76288,0.18303,0.06667,0.03333,-0.0,0
4,12:35:00.05,-2.578,5.94586,0.16718,0.0,-0.03333,-0.03333,0
5,12:35:00.11,-2.06077,5.2589,0.30287,0.06667,0.0,-0.0,0
6,12:35:00.17,-1.56884,4.68372,0.31334,-0.03333,0.0,-0.03333,0
7,12:35:00.24,-1.30962,4.5034,0.17837,0.0,0.0,-0.03333,0
8,12:35:00.30,-1.24829,3.78364,0.14473,0.06667,0.0,-0.0,0
9,12:35:00.36,-0.87942,3.11691,0.35283,0.0,-0.03333,-0.0,0
10,12:35:00.42,-0.719,2.718,0.19494,0.06667,0.0,-0.0,0
11,12:35:00.49,-0.43031,2.09965,0.38181,0.0,0.0,-0.0,0
12,12:35:00.55,-0.54242,2.05689,0.11852,0.03333,0.0,-0.0,0
13,12:35:00.61,-0.37742,1.75407,0.2581,0.06667,0.03333,-0.0,0
14,12:35:00.68,-0.06836,1.26959,0.34992,0.0,-0.06667,-0.03333,0
15,12:35:00.74,-0.34236,1.35422,0.18543,0.03333,0.0,-0.0,0
16,12:35:00.80,-0.09836,0.76646,0.30655,0.03333,0.0,-0.0,0
17,12:35:00.87,-0.05421,0.67117,0.13205,0.0,-0.03333,-0.0,0
18,12:35:00.93,-0.03521,0.478,0.21266,0.03333,0.06667,-0.0,0
19,12:35:01.00,-0.08421,0.527,0.22094,0.0,0.0,-0.0,0
20,12:35:01.06,-0.12321,0.34201,0.1315,0.06667,0.06667,-0.0,0
21,12:35:01.12,0.176,0.18625,0.2804,0.0,0.03333,-0.0,0
22,12:35:01.19,0.107,0.29425,0.33256,0.06667,0.0,-0.0,0
23,12:35:01.25,0.195,0.00977,0.37631,0.0,0.03333,-0.0,0
24,12:35:01.32,-0.06421,0.12777,0.08832,0.03333,0.0,-0.0,0
25,12:35:01.38,0.293,-0.04923,0.24124,0.0,0.0,-0.0,0
